sample_name;time;treatment;rep;sample_ID;resp_basal;resp_induc;cfu_actino;cfu_bact;cfu_fungi;colonisation;spore_amf;org.matter;phosphorus;calcium ;magnesium ;sodium;potassium;ph.water;pH.chloride;conductivity;nitrogen
S001;T0;control;A;S001_T0_control_A;1.698.882.513;8.343.091.335;83500;2080000;60500;;;24.841;31.5;140;60.9;20.9;13.4;8.1;7;0.25;0.11
S002;T0;control;B;S002_T0_control_B;754.527.163;1.001.908.397;25500;5250000;99000;;;24.511;32.1;135;53.5;18.3;11.5;8.08;6.96;0.23;0.11
S003;T0;control;C;S003_T0_control_C;1.153.451.811;1.100.127.551;11000;4800000;89500;;;2.32;22.7;135;55.1;17.4;9;7.99;6.97;0.26;0.12
S004;T0;control_amf;A;S004_T0_control_amf_A;1.453.921.861;7.009.345.794;70500;5150000;90500;;;2.359;28.9;131;53.5;17;9;8.15;6.88;0.24;0.12
S005;T0;control_amf;B;S005_T0_control_amf_B;1.537.369.915;9.079.903.148;38000;5600000;96000;;;2.427;27.5;148;58.4;18.7;10.9;8.04;6.99;0.28;0.1
S006;T0;control_amf;C;S006_T0_control_amf_C;1.195.790.816;8.191.747.573;12500;1450000;65000;;;2.341;20.2;130;54.3;17.4;7.7;8.18;7.02;0.24;0.11
S007;T0;chicken;A;S007_T0_chicken_A;2.297.645.921;1.286.764.706;350000;49000000;112000;;;3.61;53.1;191;58.4;18.1;19.2;7.27;6.8;1.41;0.17
S008;T0;chicken;B;S008_T0_chicken_B;2.123.977.344;2.291.147.132;2380000;14000000;127000;;;3.719;47.9;213;63.4;19.1;24.3;7.12;6.79;1.72;0.2
S009;T0;chicken;C;S009_T0_chicken_C;2.400.606.469;2.443.609.023;840000;10100000;190000;;;3.367;58.6;182;56.8;17;20.5;7.51;6.99;1.08;0.18
S010;T0;cow;A;S010_T0_cow_A;2.251.896.334;1.286.764.706;595000;5450000;85500;;;3.924;60.8;168;74.9;19.8;26.2;7.99;7.25;0.52;0.2
S011;T0;cow;B;S011_T0_cow_B;2.717.391.304;2.256.016.043;58500;6250000;125500;;;4.089;120.8;170;74.1;20.2;25.6;8.06;7.32;0.5;0.21
S012;T0;cow;C;S012_T0_cow_C;2.263.581.489;1.971.153.846;385000;4300000;98000;;;4.172;124;168;68.3;18.3;21.7;8.07;7.33;0.48;0.21
S013;T0;pellet;A;S013_T0_pellet_A;2.091.726.061;813.253.012;119000;2500000;93500;;;2.554;68.5;119;56;18.5;12.8;8.03;7.18;0.45;0.15
S014;T0;pellet;B;S014_T0_pellet_B;2.334.534.731;6.927.339.901;38000;4750000;92000;;;2.758;66.3;144;52.7;21.5;18.5;7.98;7.23;0.55;0.15
S015;T0;pellet;C;S015_T0_pellet_C;2.417.712.928;1.057.692.308;72500;2800000;94000;;;2.75;66.6;143;56.8;20.7;20.5;7.97;7.21;0.53;0.14
S016;T0;compost;A;S016_T0_compost_A;2.743.902.439;119.047.619;950000;5050000;103500;;;5.281;71.2;171;60.1;20.2;13.4;7.98;7;0.43;0.2
S017;T0;compost;B;S017_T0_compost_B;1.961.425.302;1.349.614.396;935000;7600000;113500;;;5.37;68;182;69.9;19.6;17.3;7.82;6.96;0.47;0.18
S018;T0;compost;C;S018_T0_compost_C;1.748.251.748;1.162.790.698;725000;1320000;144500;;;5;72.6;176;64.2;20.9;15.3;7.91;7.01;0.45;0.2
S019;T0;control_legumes;A;S019_T0_control_legumes_A;1.350.540.216;4.774.305.556;83000;5000000;108000;;;2.15;58.7;136;51.8;17.8;9.5;8.08;7.02;0.28;0.11
S020;T0;control_legumes;B;S020_T0_control_legumes_B;115.455.665;975.177.305;52000;7450000;127000;;;2.144;65.9;142;55.1;20.2;11.8;8.09;6.93;0.26;0.12
S021;T0;control_legumes;C;S021_T0_control_legumes_C;1.187.836.554;7.263.922.518;18000;1910000;81000;;;2.076;74.3;142;60.1;19.6;10.5;8.2;7.01;0.25;0.12
S022;T1;control;A;S022_T1_control_A;1.060.820.368;2.784.653.465;65000;570000;103500;;;;;;;;;;;;
S023;T1;control;B;S023_T1_control_B;131.302.521;3.676.470.588;46500;5050000;117500;;;;;;;;;;;;
S024;T1;control;C;S024_T1_control_C;1.187.543.983;4.618.226.601;83500;665000;135500;;;;;;;;;;;;
S025;T1;control_amf;A;S025_T1_control_amf_A;119.047.619;3.703.703.704;49500;380000;109000;;;;;;;;;;;;
S026;T1;control_amf;B;S026_T1_control_amf_B;1.666.097.061;4.485.645.933;53500;8800000;104000;;;;;;;;;;;;
S027;T1;control_amf;C;S027_T1_control_amf_C;1.567.944.251;3.658.536.585;45500;740000;108000;;;;;;;;;;;;
S028;T1;chicken;A;S028_T1_chicken_A;1.861.042.184;1.860.313.316;44500;11300000;191500;;;;;;;;;;;;
S029;T1;chicken;B;S029_T1_chicken_B;2.169.981.917;2.088.607.595;1400000;12400000;150000;;;;;;;;;;;;
S030;T1;chicken;C;S030_T1_chicken_C;242.893.127;2.550.377.834;945000;7350000;141500;;;;;;;;;;;;
S031;T1;cow;A;S031_T1_cow_A;2.797.463.633;1.860.313.316;51500;2745000;132500;;;;;;;;;;;;
S032;T1;cow;B;S032_T1_cow_B;2.044.711.014;1.812.977.099;540000;5450000;132000;;;;;;;;;;;;
S033;T1;cow;C;S033_T1_cow_C;3.246.753.247;1.704.545.455;870000;2190000;145000;;;;;;;;;;;;
S034;T1;pellet;A;S034_T1_pellet_A;2.008.928.571;56.25;69800;720000;139500;;;;;;;;;;;;
