sample_name,time,treatment,rep,sample_ID,,resp_basal,resp_induc,cfu_actino,cfu_bact,cfu_fungi,colonisation,spore_amf,org.matter,phosphorus,calcium ,magnesium ,sodium,potassium,ph.water,pH.chloride,conductivity,nitrogen
S037,T1,compost,A,S037_T1_compost_A,,33.15063649,92.82178218,260000,835000,177000,,,,,,,,,,,,
S038,T1,compost,B,S038_T1_compost_B,,20.39521392,85.65989848,800000,4850000,167500,,,,,,,,,,,,
S039,T1,compost,C,S039_T1_compost_C,,28.69897959,76.53061224,520000,1190000,171000,,,,,,,,,,,,
S040,T1,control_legumes,A,S040_T1_control_legumes_A,,31.83831672,96.89922481,433000,1835000,249000,,,,,,,,,,,,
S041,T1,control_legumes,B,S041_T1_control_legumes_B,,35.99114064,164.7286822,445000,8750000,231000,,,,,,,,,,,,
S042,T1,control_legumes,C,S042_T1_control_legumes_C,,35.62294483,163.0434783,420000,1615000,144000,,,,,,,,,,,,
S043,T2,control,A,S043_T2_control_A,,11.47959184,62.5,405000,405000,100000,,,1.624,46.5,236,59.2,25.9,53.1,8.48,7.17,0.24,0.07
S044,T2,control,B,S044_T2_control_B,,12.84686536,71.94244604,1110000,1110000,123000.5,,,1.7745,53.5,234,57.6,27.8,53.1,8.46,7.2,0.19,0.08
S045,T2,control,C,S045_T2_control_C,,7.763975155,122.2826087,830000,830000,136000,,,1.702,51,225,57.6,25.4,54.4,8.58,7.24,0.22,0.07
S046,T2,control_amf,A,S046_T2_control_amf_A,,18.38235294,78.125,630000,630000,99000.5,,,2.108,55.8,214,53.5,22.4,53.1,8.42,7.2,0.24,0.09
S047,T2,control_amf,B,S047_T2_control_amf_B,,3.790431267,106.1320755,575000,575000,92000,,,1.748,42.1,234,59.2,25.9,53.7,8.52,7.35,0.24,0.06
S048,T2,control_amf,C,S048_T2_control_amf_C,,14.09774436,94.19856459,535000,535000,112000.5,,,2.09,52.6,233,57.6,26.8,51.8,8.27,7.19,0.31,0.08
S049,T2,chicken,A,S049_T2_chicken_A,,23.98720682,270.5223881,5800000,5800000,151000.5,,,2.627,133.6,373,62.5,22.2,65.9,7.34,6.83,1.43,0.16
S050,T2,chicken,B,S050_T2_chicken_B,,13.09814879,224.6332518,6300000,6300000,176000.5,,,2.783,125.5,291,51,19.6,88.9,7.64,7.06,0.96,0.14
