#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	Consensus Lineage
ZOTU35	7	3	64	63	30	30	24	146	0	4	4	72	4	92	6	31	3	9	10	11	110	27	43	0	37	56	235	136	83	62	9	10	0	3	1	41	0	1	1	1	1	28	2	46	52	193	113	131	89	142	1	0	0	0	1	20	63	3	5	357	1	380	14	21	2	132	52	126	0	37	23	0	81	2	5	0	0	83	1	15	0	2	90	8	2	36	130	200	83	103	44	39	21	23	36	198	2	7	146	24	252	28	4	0	19	1	37	29	57	0	181	134	483	13	8	0	24	137	1	1	387	336	160	55	10	1	247	77	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
ZOTU916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__; o__; f__; g__; s__
ZOTU7	5	12	200	189	380	153	229	151	3306	3678	7414	39	88	23	68	37	106	43	135	114	100	280	119	54	163	255	278	351	383	3356	7791	5392	150	162	37	148	526	111	78	448	89	163	187	1020	257	497	268	246	316	376	3481	3108	1363	30	74	159	23	37	86	202	119	49	106	387	28	50	211	111	23	104	129	3777	1472	3398	284	19	193	127	286	137	9	79	94	54	12	13	237	35	11	11	44	33	649	1603	1383	178	257	251	49	53	15	198	1172	436	42	536	25	30	5	2	25	13	52	57	203	139	83	3	79	7	3	9	89	186	74	4	122	67	 k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__; s__
ZOTU2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU1106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	115	0	0	0	0	0	0	73	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU272	1	0	1	0	0	0	0	0	1	0	0	1610	0	0	1	0	4	0	1	2	0	0	0	0	0	0	1	7	0	0	1	0	768	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2302	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU238	1	0	65	225	63	189	339	443	4	14	15	250	207	246	119	58	74	337	170	280	156	299	190	69	89	12	46	16	11	15	8	4	63	2	11	66	19	2	91	172	2	18	104	40	13	16	45	180	50	57	2	0	27	16	2	7	27	18	59	75	45	54	85	30	25	2	39	55	5	0	74	0	0	1	40	25	2	5	34	14	297	10	41	12	5	21	3	30	20	3	5	223	1	9	9	116	3	30	7	9	1	53	19	485	3	137	6	0	1	5	0	4	8	2	1	3	12	124	84	6	671	3	0	0	72	1	178	9	 k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__; s__
ZOTU626	8	5	168	716	1786	487	1479	2148	284	174	573	1402	3672	1639	1688	1324	2161	3936	1426	1344	570	479	748	587	495	567	626	242	600	46	367	248	1127	592	805	673	1403	1819	1849	1204	1202	947	630	153	916	1439	2933	3480	85	323	36	280	48	505	291	622	353	285	296	100	291	873	226	1301	394	58	164	97	863	697	70	31	111	256	180	121	63	198	687	267	205	103	157	251	44	125	228	2547	482	294	78	51	47	87	53	949	215	907	112	644	352	1645	8578	197	566	965	515	232	132	17	1162	83	287	8	10	27	104	9	65	48	5	109	178	81	217	336	230	140	 k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__; s__
ZOTU1573	1	6	175	85	193	285	111	164	801	567	895	73	85	29	61	55	54	13	125	198	367	309	504	230	199	205	189	399	315	737	1034	944	148	157	43	243	353	123	139	140	223	96	37	162	86	172	173	134	269	240	1292	858	251	65	102	43	109	177	25	227	271	110	132	247	107	157	159	269	371	186	358	2142	722	650	29	22	78	114	230	159	30	195	57	25	16	26	217	301	103	223	34	71	1740	1803	1187	224	90	65	191	264	281	294	552	172	68	29	84	179	179	168	45	221	117	4723	5987	4130	119	30	54	3	24	215	164	194	211	5	138	87	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU1376	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	4	4	3	2	3	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	23	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	4	6	0	0	3	3	3	0	0	0	0	1	0	0	1	1	19	10	34	112	7008	2535	4301	0	467	170	0	2	17	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
ZOTU1726	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	 k__Fungi; p__Glomeromycota; c__; o__; f__; g__; s__
ZOTU146	2	1	12	0	26	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	1	11	5	39	0	0	1	5	0	0	1	1	31	1	310	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	91	1	0	0	845	2	1	0	26	0	0	0	0	0	1	0	0	1	0	0	0	0	105	1	0	1	0	0	0	0	86	12	1	3	14	0	0	21	0	0	24	44	44	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	90	0	0	0	0	0	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU190	3	0	99	108	108	202	158	133	22	10	18	210	29	8	113	11	80	38	63	43	65	68	113	447	126	71	16	234	153	62	11	17	484	19	25	25	111	247	3	22	57	106	27	60	5	103	6	214	292	151	1	2	15	1	0	27	1	6	99	163	184	609	35	160	116	127	143	903	5	164	46	31	40	122	40	136	63	52	3	62	380	217	56	19	13	9	205	153	179	69	68	147	138	84	30	58	66	50	99	134	195	173	131	250	7	147	197	77	558	532	105	119	91	1	74	33	321	52	3	5	713	2	6	32	30	5	164	2	 k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma; s__Solicoccozyma_terricola
ZOTU565	2	5	143	53	220	108	248	275	320	420	119	55	40	35	40	20	36	96	74	35	95	214	214	715	146	121	94	505	196	670	398	513	278	31	31	180	139	47	5	173	33	1037	218	127	229	133	209	184	680	95	612	746	242	1108	113	48	28	44	23	111	129	279	68	35	43	300	183	572	667	461	447	891	422	1722	472	40	54	237	43	166	58	6	294	264	69	64	666	148	200	351	92	128	270	343	258	121	101	143	600	367	86	81	6	226	427	832	629	944	706	193	514	85	179	47	280	89	30	241	260	177	0	716	211	92	129	944	142	104	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU597	1	1	243	275	428	83	444	304	54	15	9	397	146	141	160	5	42	12	150	141	337	198	340	488	95	295	292	324	349	1	34	43	344	151	106	295	48	115	13	1058	83	290	129	214	120	643	323	482	180	707	2	18	10	71	6	154	1991	115	97	256	371	983	1029	998	1839	651	368	594	554	331	503	6	54	2	69	112	184	147	175	388	265	5	218	140	218	82	237	229	181	209	51	110	19	15	6	74	69	26	153	285	559	191	147	220	326	204	419	174	304	156	220	220	806	3	16	0	44	181	3	2	784	603	3	353	328	714	301	265	 k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
ZOTU2515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU132	4	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	3	1	1	2	0	4	3	5	0	6	3	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	88	177	94	1	54	0	1	4	2	11	1	0	150	2	0	15	16	9	2201	99	845	77	2123	12507	2300	8931	18	5	13	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
ZOTU1675	2	1	1	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	72	12	7	104	23	15	0	0	0	0	0	1	61	69	212	216	88	0	193	53	0	298	202	196	27	204	11	0	1	0	51	120	51	1043	627	327	457	258	163	90	43	296	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU1998	5	8	202	184	290	235	170	176	64	56	57	275	275	139	72	119	179	68	159	172	372	334	271	232	293	292	221	157	623	37	110	78	297	210	172	235	318	230	230	487	288	221	288	181	147	798	405	546	318	447	50	49	38	84	173	73	118	290	203	264	361	532	120	213	155	261	242	270	79	729	214	164	203	122	195	227	119	244	261	413	603	276	171	43	17	44	157	193	302	219	134	311	27	142	50	400	65	199	254	868	374	192	361	216	442	621	655	159	151	256	416	615	328	131	158	95	280	994	1471	1234	246	729	535	656	224	334	235	864	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU549	1	0	15	0	21	129	8	140	0	0	0	11	0	16	0	3	2	0	14	0	1	7	4	14	387	16	51	111	9	0	1	2	32	1	0	3	25	0	0	0	21	1	5	11	3	0	6	56	2	41	0	5	0	0	0	1	11	0	2	2	69	29	0	47	4	7	6	20	0	8	0	54	0	1	5	324	0	3	19	1	0	52	9	1	0	36	8	2	11	5	1	4	0	6	0	27	2	0	18	24	72	292	0	23	1	2	2	30	99	7	5	5	21	45	8	0	27	6	8	1	0	0	2	1	109	0	7	2	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU1536	2	0	20	27	19	38	39	16	336	469	625	19	29	0	43	39	575	9	9	2	23	149	73	95	19	22	9	56	46	449	1178	802	18	15	55	28	123	48	2	155	1	56	5	12	19	10	19	54	28	23	238	522	136	43	32	38	230	9	5	19	28	0	5	4	20	65	20	40	6	100	53	1242	531	569	49	27	496	57	51	24	3	2	5	13	2	1	120	71	3	30	16	9	106	131	92	10	55	5	6	74	37	13	50	87	122	1	15	11	1	0	13	52	77	19	103	35	1	97	198	466	1	1	52	91	60	2	35	18	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU5	2	3	219	90	217	112	188	139	19	17	29	131	376	235	65	427	15	27	267	214	45	89	204	66	90	31	91	85	97	139	37	28	1712	1690	591	119	546	691	5818	4189	1975	149	439	60	583	163	421	379	444	376	69	98	33	1353	2128	2004	976	1655	453	1539	384	2919	1366	332	160	144	36	81	1235	77	60	11	3	4	80	235	605	299	18	225	69	19	147	17	33	13	190	280	199	22	91	19	5	10	15	221	274	291	67	239	51	546	108	504	1	46	159	73	568	3	15	580	11	3	2	10	3	5	87	510	1	1	37	16	326	131	373	68	 k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__; s__
ZOTU206	1	0	32	1	19	0	19	15	0	1	0	4	95	0	2	0	1	7	11	12	7	20	37	45	15	25	1	1	10	27	0	0	2	1	0	2	0	2	0	122	0	9	7	19	0	67	2	7	73	509	0	0	1	121	0	4	0	6	128	2	0	1	31	1	0	71	47	56	1	8	80	0	1	0	9	21	25	35	0	77	0	0	0	1	0	1	34	10	24	34	4	50	0	6	3	103	2	12	61	0	125	1	0	181	1	1	67	49	400	0	42	17	91	0	2	8	1	1	0	0	0	0	0	7	30	157	48	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
ZOTU660	1	0	3	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	11	7	21	0	0	0	0	20	1	1	1	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	11	11	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
ZOTU1767	1	0	0	1	0	2	3	0	0	0	0	0	10	0	0	5	1	213	252	176	3	1	1	0	1	1	4	2	1	1	0	0	9	2	0	1	0	1	311	413	315	4	0	0	0	1	9	0	0	0	0	0	0	0	0	1	1	0	0	191	275	676	0	0	1	1	0	0	1	0	0	0	0	0	6	0	0	1	1	1	497	143	139	1	0	18	0	0	0	0	1	1	0	0	0	0	0	7	0	0	1	188	0	528	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	92	248	266	0	0	0	 k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__; f__; g__; s__
ZOTU37	2	1	13	12	47	23	6	20	0	6	2	11	4	16	2	122	15	0	2	24	19	94	96	99	339	59	126	1068	20	12	5	5	56	14	7	132	68	224	477	146	15	27	34	27	2	152	23	139	7	50	0	1	2	0	1	22	60	20	113	29	67	277	19	7	7	39	27	121	1	116	51	1	9	0	10	16	14	62	68	34	0	25	49	2	2	15	108	68	28	39	14	167	0	18	0	72	70	26	79	86	67	34	4	253	71	110	24	13	74	108	347	22	72	7	2	2	82	76	353	3	1	953	27	43	219	3	45	72	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU86	1	2	36	9	6	292	32	294	177	26	0	1	0	2	4	0	21	39	1	0	1	0	1	0	17	35	0	25	0	8	2	0	2	102	2	0	0	0	59	3	1	2	48	10	32	1	4	29	3	80	0	0	1	0	125	1	0	83	112	79	54	0	14	3	32	0	58	9	388	1	0	0	2	1	42	2	1	2	114	29	147	173	5	0	1	0	22	51	12	8	9	69	23	1	6	134	80	28	4	0	0	6	267	1357	301	64	6	0	0	0	30	0	0	45	0	0	1	0	0	2	2	1	0	0	0	0	59	2	 k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia_restricta
ZOTU49	5	1	42	328	149	59	263	127	16	40	40	479	97	12	12	96	81	11	17	43	62	187	144	204	100	24	169	56	111	16	149	65	82	32	53	384	140	3	8	7	242	180	89	149	53	402	85	515	131	119	27	103	14	3	65	23	0	9	7	20	4	149	41	297	85	172	121	194	6	347	127	8	6	4	36	42	4	119	127	116	3	4	32	30	40	19	366	189	75	187	51	13	3	58	42	3	42	4	106	30	389	60	5	446	314	2	207	2	327	9	12	450	18	0	30	35	35	1	152	8	8	203	372	146	92	2	5	22	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU648	1	0	0	0	0	0	5	0	0	1	0	15	5	1	0	0	0	0	0	0	4	5	1	11	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	1	2	7	0	7	5	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	1	1	0	8	0	0	0	1	0	0	11	0	1	0	0	1	0	0	0	8	0	0	1	54	1	0	0	0	0	0	0	1	0	0	0	0	6	1	0	16	 k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Microdochiaceae; g__Idriella; s__Idriella_lunata
ZOTU1863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	4	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	13	0	0	0	2	0	 k__Fungi; p__; c__; o__; f__; g__; s__
ZOTU1198	1	0	6	19	7	22	11	22	53	19	8	5	0	1	45	21	10	6	8	7	26	80	11	14	7	2	17	0	1	0	0	2	33	0	9	22	0	0	1	0	11	5	3	7	40	4	10	25	3	0	0	17	2	0	125	6	6	0	18	2	16	0	2	0	1	30	2	8	0	8	10	9	0	0	1	7	4	27	0	15	0	0	0	4	0	0	7	1	15	6	4	4	48	44	52	163	31	4	36	4	25	1	0	126	0	1	12	4	0	24	6	0	4	69	186	90	0	40	80	0	436	182	0	0	0	108	4	0	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
ZOTU523	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__; s__
