#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126
ZOTU35	7	3	64	63	30	30	24	146	0	4	4	72	4	92	6	31	3	9	10	11	110	27	43	0	37	56	235	136	83	62	9	10	0	3	1	41	0	1	1	1	1	28	2	46	52	193	113	131	89	142	1	0	0	0	1	20	63	3	5	357	1	380	14	21	2	132	52	126	0	37	23	0	81	2	5	0	0	83	1	15	0	2	90	8	2	36	130	200	83	103	44	39	21	23	36	198	2	7	146	24	252	28	4	0	19	1	37	29	57	0	181	134	483	13	8	0	24	137	1	1	387	336	160	55	10	1	247	77
ZOTU916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0
ZOTU7	5	12	200	189	380	153	229	151	3306	3678	7414	39	88	23	68	37	106	43	135	114	100	280	119	54	163	255	278	351	383	3356	7791	5392	150	162	37	148	526	111	78	448	89	163	187	1020	257	497	268	246	316	376	3481	3108	1363	30	74	159	23	37	86	202	119	49	106	387	28	50	211	111	23	104	129	3777	1472	3398	284	19	193	127	286	137	9	79	94	54	12	13	237	35	11	11	44	33	649	1603	1383	178	257	251	49	53	15	198	1172	436	42	536	25	30	5	2	25	13	52	57	203	139	83	3	79	7	3	9	89	186	74	4	122	67
ZOTU2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	115	0	0	0	0	0	0	73
ZOTU272	1	0	1	0	0	0	0	0	1	0	0	1610	0	0	1	0	4	0	1	2	0	0	0	0	0	0	1	7	0	0	1	0	768	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2302	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ZOTU238	1	0	65	225	63	189	339	443	4	14	15	250	207	246	119	58	74	337	170	280	156	299	190	69	89	12	46	16	11	15	8	4	63	2	11	66	19	2	91	172	2	18	104	40	13	16	45	180	50	57	2	0	27	16	2	7	27	18	59	75	45	54	85	30	25	2	39	55	5	0	74	0	0	1	40	25	2	5	34	14	297	10	41	12	5	21	3	30	20	3	5	223	1	9	9	116	3	30	7	9	1	53	19	485	3	137	6	0	1	5	0	4	8	2	1	3	12	124	84	6	671	3	0	0	72	1	178	9
ZOTU626	8	5	168	716	1786	487	1479	2148	284	174	573	1402	3672	1639	1688	1324	2161	3936	1426	1344	570	479	748	587	495	567	626	242	600	46	367	248	1127	592	805	673	1403	1819	1849	1204	1202	947	630	153	916	1439	2933	3480	85	323	36	280	48	505	291	622	353	285	296	100	291	873	226	1301	394	58	164	97	863	697	70	31	111	256	180	121	63	198	687	267	205	103	157	251	44	125	228	2547	482	294	78	51	47	87	53	949	215	907	112	644	352	1645	8578	197	566	965	515	232	132	17	1162	83	287	8	10	27	104	9	65	48	5	109	178	81	217	336	230	140
ZOTU1573	1	6	175	85	193	285	111	164	801	567	895	73	85	29	61	55	54	13	125	198	367	309	504	230	199	205	189	399	315	737	1034	944	148	157	43	243	353	123	139	140	223	96	37	162	86	172	173	134	269	240	1292	858	251	65	102	43	109	177	25	227	271	110	132	247	107	157	159	269	371	186	358	2142	722	650	29	22	78	114	230	159	30	195	57	25	16	26	217	301	103	223	34	71	1740	1803	1187	224	90	65	191	264	281	294	552	172	68	29	84	179	179	168	45	221	117	4723	5987	4130	119	30	54	3	24	215	164	194	211	5	138	87
ZOTU1376	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	4	4	3	2	3	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	23	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	4	6	0	0	3	3	3	0	0	0	0	1	0	0	1	1	19	10	34	112	7008	2535	4301	0	467	170	0	2	17
