#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126
ZOTU422	0	0	1	9	0	0	4	1	0	0	1	18	1	0	1	1	0	34	0	0	15	1	12	0	10	9	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	14	4	23	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	7	22	0	0	19	0	0	0	4	0	0	6	0	0	0	0	5	0	0	0	2	10	0	4	0	0	0	0	0	12	26	1	2	0	31	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0
ZOTU1501	0	0	1	7	1	10	13	1	0	0	0	0	2	0	0	0	0	0	1	2	3	4	3	0	0	15	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1676	0	0	1	1	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	20	1	3	0	2	5	0	0	0	0	0	0	10	1	0	0	0	0	2	0	2	0	4	9	23	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	10	0	0	21	0	0	0	0	12	0	0	1	4	0	18	0	0	1	0	7	12	9	5	1	4	0	1	0	0	0	14	19	1	0	63	0	0	0	36	5	3	0	0	26	3	3	0	66	0	0	0	15	0	0	0	0	8	0	0	0	9
ZOTU1115	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1253	0	0	2	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
ZOTU1529	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU693	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	33	0	1	0	0	0	0	1	0	0	0	0	6	0	0	0	0	16	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZOTU2745	0	0	2	0	1	0	3	1	7	5	1	0	9	12	0	0	0	0	1	0	1	7	0	0	0	3	30	27	0	4	0	3	0	11	4	2	18	26	0	0	1	9	0	0	3	1	0	1	12	0	4	1	0	0	0	0	0	9	0	0	0	0	0	10	0	2	0	2	0	2	0	32	8	18	2	4	0	7	6	2	103	0	0	0	0	2	0	0	1	0	0	0	0	3	1	3	7	0	15	1	1	11	54	0	0	0	0	5	0	0	0	0	2	3	21	0	0	0	0	0	0	0	0	0	0	0	1	3
ZOTU2833	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1782	0	0	8	1	11	0	3	9	0	0	1	0	21	1	1	0	0	0	1	2	3	26	16	0	3	10	10	0	6	0	1	2	5	2	1	23	44	18	23	1	10	3	0	4	0	6	2	5	8	5	3	0	6	8	0	1	13	20	0	2	0	0	15	12	2	1	1	14	168	5	2	0	1	0	2	8	16	3	0	0	0	0	2	11	3	18	1	7	19	1	11	0	1	2	1	12	1	2	4	1	4	11	12	0	0	35	16	43	102	0	11	0	2	1	0	0	0	0	22	0	0	0	0	7	3	0	21	6
ZOTU1348	0	0	1	1	5	0	0	3	0	0	0	0	7	0	0	0	0	0	1	0	0	10	6	2	4	0	0	0	11	0	0	0	0	0	23	0	0	0	10	0	0	0	2	2	11	5	3	24	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	6	0	14	43	0	0	0	0	0	0	0	1	1	5	0	1	0	0	4	0	0	0	2	2	1	0	0	0	0	0	0	0	3	15	0	0	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	56
ZOTU120	0	0	1	0	1	0	53	3	0	0	0	3	0	0	0	0	0	33	0	1	7	0	2	39	1	9	2	1	7	0	0	0	5	0	1	0	0	0	0	45	0	5	0	6	2	66	17	11	16	0	0	0	3	0	0	19	104	0	0	126	0	0	0	0	0	0	6	1	0	182	0	0	0	0	3	0	15	5	0	10	0	0	0	1	0	0	0	16	2	0	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	90	6	0	42	0	0	0	11	0	0	0	0	0	1184	0	0	0	0	34	0	0	16	2
ZOTU1457	0	0	1	0	1	31	2	16	0	0	0	0	0	4	0	0	6	0	0	3	1	3	5	0	1	2	1	5	2	0	0	0	42	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1667	0	0	4	2	28	38	3	33	0	0	0	0	6	33	0	21	3	0	1	0	6	4	19	22	313	7	6	0	6	0	2	0	1	0	5	124	0	0	1	1	0	2	9	5	0	27	16	16	0	0	0	0	10	0	0	4	88	0	0	0	0	21	1	0	14	2	13	24	0	56	46	0	0	0	7	0	15	1	0	14	0	0	0	7	0	0	23	48	1	5	3	14	0	1	0	62	1	25	0	7	0	0	0	0	0	0	0	0	0	0	0	49	25	0	0	0	0	0	0	0	0	0	0	0	86	0	41	17
ZOTU1076	0	0	1	2	6	0	4	0	0	0	0	0	0	0	37	0	6	0	0	0	6	2	6	0	0	6	0	1	1	0	0	0	0	0	0	0	91	0	0	0	0	0	4	1	0	18	27	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	62	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	1	2	0	1	0	3	0	3	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	52	1	38	0	0	0	0	0	0	0	0	0
ZOTU1817	0	0	5	2	6	0	0	6	0	0	4	145	27	0	0	0	5	0	0	1	9	40	20	0	3	2	3	1	50	0	0	0	79	1	1	2	22	0	0	0	108	13	29	25	0	46	42	8	1	179	0	0	0	0	245	0	0	0	196	0	53	1	0	0	92	0	0	59	0	30	9	0	1	0	0	0	0	22	0	21	43	0	0	0	0	0	12	0	2	1	0	33	1	5	0	0	0	0	0	0	0	0	0	0	0	0	14	1	55	0	35	0	16	0	0	1	95	408	23	0	0	0	0	0	0	0	4	0
ZOTU2045	0	0	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ZOTU2545	0	0	3	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZOTU2650	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU2199	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU522	0	0	1	3	2	17	7	0	0	0	0	30	4	21	65	0	0	0	0	3	3	22	0	0	0	12	0	154	3	1	0	0	0	0	0	0	0	0	0	48	0	1	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1618	1	0	1	72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1595	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU153	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	147	0	0	0	2	23	0	0	5	0	0	1	31	51	50	1	0	2	372	1	145	0	83	269	0	6	1	0	1	0	0	0	0	254	0	0	1	0	17	0	0	28
ZOTU1444	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	83	1	0	0	0	0	1	0	1	25	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU325	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	0	7	1	0	2	1	0	0	0	1	0	0	3	0	9	22	0	0	0	1	1	3	0	0	5	31	4	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	1	15	2	0	26	0	0	0	0	0	10	0	1	0	0	0	36	0	0	1	0	0	0	1	0	0	2	0	0	0	7	6	1	0	3	5	49	0	14	36	22	0	4	0	0	0	8	6	13	0	0	1	0	67	0	0	136	0	38	27	0	17	1
ZOTU734	0	0	1	1	2	0	0	0	0	0	1	13	2	0	0	1	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	122	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
ZOTU1110	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU956	0	0	1	0	0	0	0	0	0	0	0	44	0	0	0	0	1	0	0	0	5	0	1	0	7	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	26	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
ZOTU2085	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1574	0	0	2	4	4	0	0	29	0	2	0	212	0	0	0	0	1	0	1	0	24	21	23	36	45	2	2	4	16	7	2	0	0	13	0	1	0	0	0	0	0	2	1	2	0	1	1	15	20	4	13	3	0	0	0	4	23	25	0	0	10	0	14	0	1	12	15	11	382	42	9	41	0	0	0	18	39	31	0	0	0	0	3	2	0	0	12	2	11	19	12	12	0	12	0	12	21	5	26	4	18	7	0	0	164	0	16	5	53	0	1	59	3	1	7	78	0	119	0	1	1	0	13	12	0	0	4	7
ZOTU1135	0	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ZOTU1877	0	0	1	1	0	9	16	0	0	16	0	0	0	1	0	0	0	0	0	0	0	3	7	0	0	0	2	6	0	0	1	0	0	0	0	0	0	54	0	0	6	0	0	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	68	0	0	0	0	0	0	0	13	1	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1819	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	28	0
ZOTU1237	0	0	3	0	0	0	3	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4
ZOTU891	0	0	1	2	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	15	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	5	4	1	1	0	0	54	0	9	3	0	11	0	95	0	0	0	1	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ZOTU1385	0	0	3	1	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	18	0	3	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU2669	0	0	3	0	2	14	0	4	0	0	0	0	1	0	0	43	9	0	0	15	0	6	9	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	13	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZOTU880	0	0	1	2	2	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	14	29	29	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	10	0	0	20	0	0	0	1	0	0	0	0	17	0	0	0	50	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
ZOTU634	0	0	1	0	0	50	4	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	2	0	0	307	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
ZOTU588	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	23	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU788	0	0	1	0	13	130	0	20	22	0	0	0	0	0	0	0	0	0	0	0	33	0	6	43	46	27	3	0	1	8	2	1	0	0	0	0	0	0	0	0	0	5	7	3	0	1	32	3	0	0	0	0	0	0	0	6	0	9	0	21	0	0	0	0	0	58	31	19	0	0	0	0	1	0	1	0	0	0	0	6	0	0	5	0	0	0	0	0	2	0	0	25	0	0	0	0	0	0	5	0	179	1	0	0	0	45	0	0	43	0	0	5	0	0	0	0	43	0	0	0	0	0	0	0	0	0	6	6
ZOTU702	0	0	1	4	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	1	0	0	0	0	17	0	5	0	0	0	0	0	0	0	143	0	0	0	0	3	0
ZOTU836	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	7	3	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	1	54	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZOTU108	0	0	2	0	0	36	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	1	1	0	0	0	1	0	0	2	58	15	0	3	1	3	84	295	3	2	0	1	0	2	0	1	0	1	0	0	1	39	0	0	2	1	37	311	175	0	0	1	36	0	0	18	0	0	0	1	1	57	63	32	10	5	0	158	670	533	0	1	5	0	0	0	0	0	0	1	0	0	2	8	17	0	0	15	62	263	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	67	19	0	0	0	0	0	0	0	0	0	0
ZOTU1227	0	0	2	1	4	1	13	8	3	0	0	0	0	0	0	27	0	0	7	1	1	0	1	0	11	0	0	5	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	54	1	2	15	0	0	0	98	0	17	0	0	0	0	0	10	0	0	0	0	0	8	0	16	10	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	2	7	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0
ZOTU2096	0	0	1	0	2	1	0	13	0	0	1	0	0	0	0	0	0	4	0	0	0	2	2	0	0	1	4	3	0	0	0	6	0	0	0	11	0	1	10	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	12	3	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU590	0	0	1	0	1	0	0	9	1	0	0	0	0	0	0	0	4	22	0	0	0	0	0	0	1	1	1	5	0	0	0	5	0	0	0	12	0	0	1	1	0	15	1	1	0	76	0	4	1	0	0	0	2	0	0	0	1	0	0	0	0	0	5	1	0	4	0	0	52	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU852	0	0	2	2	0	25	1	0	0	0	1	0	0	0	0	0	3	0	0	2	5	12	0	29	6	5	5	0	4	0	1	1	14	0	34	1	12	19	0	0	0	0	1	19	0	0	8	4	0	4	13	0	1	0	0	1	0	0	0	0	1	0	0	22	6	7	3	9	0	2	5	0	0	0	4	0	13	0	0	0	0	0	0	7	0	0	10	14	2	3	1	806	0	0	4	223	0	3	0	0	45	18	50	0	3	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ZOTU887	0	0	1	8	0	7	4	6	0	0	0	20	0	3	0	0	0	0	0	1	2	13	0	37	4	1	0	6	0	0	0	0	1	0	1	0	0	16	0	0	0	0	2	0	0	0	0	12	6	5	0	0	0	0	1	1	0	0	0	0	0	0	0	41	1	2	2	0	0	8	0	0	0	0	0	1	1	0	0	21	0	0	4	2	1	0	1	0	1	0	0	0	0	0	0	0	9	0	1	1	3	0	0	0	0	0	0	8	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0
ZOTU548	0	0	2	4	5	46	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	3	4	1	2	0	0	1	0	0	2	0	0	0	0	0	0	5	0	2	0	4	65	168	0	18	0	0	0	4	0	4	0	1	0	2	19	2	4	6	15	5	0	3	0	11	0	1	0	0	0	0	26	1	0	0	0	0	0	1	4	17	0	0	1	0	0	0	1	0	0	76	0	7	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU618	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	8	12	0	0	0	0	8	0	0	0	0	0	0	1	0	4	0	1	0	0	0	1	0	0	2	0	0	2	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	0	0	0	13	30	16	0	0	0	0	0	0	0	0	77	0	0	0	17	0
